"Order details","Order status","Order date","Product","Shipping","Sales channel"
"111-9577220-5777841 (156907666460361)","Payment Complete","3/31/2026, 7:15:42 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"113-2958104-2029861 (156888510259521)","Payment Complete","3/31/2026, 4:25:52 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"114-1404214-0956236 (156598595807761)","Payment Complete","3/27/2026, 12:26:39 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Standard ","Ship"
"111-4889282-4637814 (156650390380281)","Payment Complete","3/27/2026, 9:18:19 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"111-1516674-7099410 (156233494821801)","Payment Complete","3/21/2026, 3:19:14 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"112-3365000-0776269 (156194269280761)","Payment Complete","3/20/2026, 2:16:41 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"113-7479741-1429864 (156146177552361)","Payment Complete","3/19/2026, 5:05:38 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","NextDay ","Ship"
"112-1195169-4968218 (155938812261841)","Payment Complete","3/16/2026, 3:51:38 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"114-7719438-0771429 (155921985414801)","Payment Complete","3/16/2026, 1:18:07 AM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"111-3923409-1219423 (155903103793601)","Payment Complete","3/15/2026, 6:40:26 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"111-8092127-4607424 (155849034533121)","Payment Complete","3/14/2026, 8:53:26 PM","Masiel Spark Premium Horse Brushes Set (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
"111-7180716-3973866 (155818311795761)","Payment Complete","3/14/2026, 5:51:06 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"114-4091008-6302651 (155784102410761)","Payment Complete","3/13/2026, 6:19:02 PM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"114-2863043-5655407 (155697808241761)","Payment Complete","3/12/2026, 4:55:03 AM","Masiel Spark Premium Horse Grooming Kit (8 Pieces) - Professional Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Ba (SKU: MS-KIT8-BRW, ASIN: B0GBZJVY8B)","Expedited ","Ship"
"114-9280889-3942624 (155118361207281)","Payment Complete","3/4/2026, 10:31:03 PM","Masiel Spark Premium Horse Grooming Kit (4 Pieces) - Essential Equine Care Set with Beechwood Brushes, Natural Bristles, and Handcrafted Leather Bag - (SKU: MS-KIT4-BRW, ASIN: B0GBYV3L65)","Expedited ","Ship"
